Object Designation  ,Date (yyyy-mm-dd.dd),Distance (rEarth),Sigma Impact  ,Stretch LOV (rEarth),Sigma LOV  ,Impact Probability  ,Width (rEarth),Impact Energy (Mt),Palermo Scale  ,Torino Scale  ,
(2007 FT3),2040-10-02.89,45.76,0.939,1.36E+06,-0.83124,3.40E-09,4.77E+01,2.72E+03,-5.56,0,bK07F03T
(2008 UV99),2092-03-29.30,4.71,0.531,6.17E+06,0.50749,8.20E-09,6.99E+00,3.83E+03,-5.57,0,bK08U99V
(2010 AU118),2096-10-20.29,22.24,0.049,8.84E+06,-0.56865,1.10E-10,4.36E+02,9.11E+05,-5.57,0,bK10AB8U
(2016 WN55),2049-09-13.19,112.95,0.774,7.96E+05,-0.50771,2.80E-09,1.45E+02,5.17E+03,-5.57,0,bK16W55N
(2017 GM7),2098-06-20.54,7.95,1.531,1.37E+06,2.04407,2.20E-09,4.54E+00,2.25E+04,-5.57,0,bK17G07M
(2002 MN),2074-06-16.68,0.14,0,6.34E+05,-1.31881,5.20E-07,1.96E-03,1.50E+01,-5.58,0,bK02M00N
101955 Bennu (1999 RQ36),2187-09-24.94,0.13,0,7.52E+05,-2.744,4.90E-08,< 1.e-04,1.15E+03,-5.58,,a0101955
(2016 WN55),2039-09-13.07,4.18,0.022,1.70E+06,-0.53086,1.80E-09,1.42E+02,5.44E+03,-5.58,0,bK16W55N
(2016 NL56),2041-09-01.92,38.48,0.498,2.73E+05,-0.43516,1.90E-08,7.53E+01,3.12E+02,-5.58,0,bK16N56L
(2000 WJ107),2114-11-19.99,0.18,0,1.33E+06,0.17883,5.80E-07,1.11E-02,2.44E+01,-5.59,0,bK00WA7J
(2002 RB182),2076-10-06.41,1.14,0.77,2.38E+05,-0.57862,2.50E-07,1.81E-01,3.84E+01,-5.59,0,bK02RI2B
(2005 WG57),2029-08-21.18,0.35,0,6.61E+04,-2.91372,1.60E-07,7.61E-03,9.13E+00,-5.59,0,bK05W57G
(2008 UB7),2075-11-01.60,0.21,0,1.42E+06,-0.26314,5.30E-07,< 1.e-04,1.45E+01,-5.59,0,bK08U07B
(2007 FT3),2105-10-04.30,37.62,0.742,4.19E+05,-0.87894,1.20E-08,4.93E+01,2.73E+03,-5.59,0,bK07F03T
(2015 ME131),2028-08-18.03,14.98,0.022,1.12E+06,0.73349,5.40E-10,6.40E+02,1.03E+04,-5.59,0,bK15MD1E
(2015 YV20),2020-05-10.74,140.3,1.488,1.32E+05,-0.31503,1.30E-08,9.36E+01,3.92E+01,-5.59,0,bK15Y20V
101955 Bennu (1999 RQ36),2190-09-24.79,0.08,0,3.19E+04,3.737,4.90E-08,< 1.e-04,1.15E+03,-5.59,,a0101955
(2007 KO4),2046-11-23.94,3.65,0.074,3.96E+04,1.0659,2.00E-07,3.56E+01,2.09E+01,-5.59,0,bK07K04O
(2017 GM7),2084-06-20.20,7.84,1.845,7.65E+04,3.0769,1.70E-09,3.71E+00,2.22E+04,-5.59,0,bK17G07M
(2007 FT3),2080-10-03.22,43.5,0.871,6.47E+05,-0.62937,8.70E-09,4.88E+01,2.69E+03,-5.6,0,bK07F03T
(2007 WP3),2105-11-12.31,0.78,0,2.10E+04,2.60488,8.00E-07,4.59E-03,1.43E+01,-5.6,0,bK07W03P
(2008 EX5),2062-10-09.49,0.14,0,9.03E+05,-0.65125,7.10E-07,1.62E-02,7.29E+00,-5.6,0,bK08E05X
(2008 UV99),2075-03-29.94,12.91,0.627,3.17E+06,0.50578,5.80E-09,1.90E+01,3.81E+03,-5.61,0,bK08U99V
(2016 WN55),2047-09-12.70,99.23,0.649,1.03E+06,-0.54935,2.20E-09,1.51E+02,5.67E+03,-5.61,0,bK16W55N
(2016 WN55),2041-09-11.99,140.88,0.925,1.03E+06,-0.55607,1.80E-09,1.51E+02,5.76E+03,-5.61,0,bK16W55N
(2007 FT3),2095-10-03.80,29.65,0.604,6.09E+05,-0.82115,1.00E-08,4.74E+01,2.73E+03,-5.62,0,bK07F03T
(2008 UV99),2025-03-28.98,51.28,2.758,5.85E+05,0.49652,8.00E-10,1.82E+01,3.71E+03,-5.62,0,bK08U99V
(2016 NL56),2038-08-31.36,30.5,0.696,4.52E+05,-0.48064,1.80E-08,4.24E+01,2.64E+02,-5.62,0,bK16N56L
(2015 HV182),2018-06-22.78,20.55,0.108,1.32E+06,-0.33312,2.00E-09,1.80E+02,1.14E+02,-5.62,0,bK15HI2V
(2007 FT3),2083-10-03.76,36.15,0.748,6.75E+05,-0.83574,8.30E-09,4.70E+01,2.73E+03,-5.63,0,bK07F03T
(2008 UB7),2059-11-01.62,0.12,0,3.68E+04,-2.86975,3.50E-07,1.13E-02,1.47E+01,-5.63,0,bK08U07B
(2010 WC9),2086-05-15.85,0.29,0,1.83E+05,-1.94189,5.70E-07,3.79E-01,1.45E+01,-5.63,0,bK10W09C
101955 Bennu (1999 RQ36),2196-09-24.21,0.05,0,2.97E+04,3.772,4.50E-08,< 1.e-04,1.15E+03,-5.63,,a0101955
(2016 WN55),2043-09-13.72,124.8,0.884,1.06E+06,-0.5039,2.00E-09,1.40E+02,5.13E+03,-5.63,0,bK16W55N
(2016 NL56),2043-06-11.26,159.19,0.11,2.74E+06,0.10923,1.30E-10,1.44E+03,1.60E+05,-5.63,0,bK16N56L
(2016 NL56),2040-06-12.06,144.89,0.102,3.33E+06,0.11146,1.10E-10,1.41E+03,1.73E+05,-5.63,0,bK16N56L
(2014 MV67),2022-03-22.46,109.85,1.82,4.88E+06,0.19264,3.10E-10,5.98E+01,6.35E+03,-5.64,0,bK14M67V
(2015 ME131),2029-08-18.27,17.17,0.025,1.15E+06,0.73274,5.20E-10,6.41E+02,1.03E+04,-5.64,0,bK15MD1E
(2015 ME131),2024-02-15.05,10.21,0.005,7.21E+05,0.7488,2.70E-10,1.93E+03,1.10E+04,-5.64,0,bK15MD1E
(2016 NL56),2024-02-14.12,58.42,0.16,7.87E+04,-0.85767,1.20E-08,3.59E+02,9.65E+01,-5.65,0,bK16N56L
(2005 NX55),2021-01-06.04,56.11,0.593,2.59E+05,-2.00845,2.30E-09,9.29E+01,3.48E+02,-5.65,0,bK05N55X
(2012 ES10),2058-03-05.28,0.79,0,3.33E+05,-2.00967,2.00E-07,1.59E-02,2.62E+01,-5.66,0,bK12E10S
(2015 ME131),2026-02-14.50,89.26,0.035,4.45E+05,0.74344,3.40E-10,2.51E+03,1.10E+04,-5.66,0,bK15MD1E
(2002 RB182),2076-10-06.51,0.68,0,2.16E+06,-0.64502,2.10E-07,1.69E-01,3.85E+01,-5.67,0,bK02RI2B
(2010 CR5),2075-12-17.24,5.19,0.714,1.01E+06,2.30255,4.00E-09,5.87E+00,5.05E+03,-5.68,0,bK10C05R
(2015 ME131),2030-08-18.50,20.49,0.03,1.17E+06,0.7321,5.10E-10,6.41E+02,1.03E+04,-5.68,0,bK15MD1E
(2016 NL56),2070-08-16.63,6.55,0.957,2.47E+05,-1.00769,1.10E-07,5.79E+00,7.17E+01,-5.68,0,bK16N56L
(2016 NL56),2057-08-31.00,27.24,0.719,3.10E+05,-0.48456,2.90E-08,3.65E+01,2.61E+02,-5.68,0,bK16N56L
(2016 NL56),2040-08-12.90,16.56,0.828,1.43E+05,-1.1853,6.10E-08,1.88E+01,5.30E+01,-5.68,0,bK16N56L
(2016 NL56),2031-09-13.75,150.61,0.167,1.63E+05,-0.19022,3.30E-09,8.94E+02,1.12E+03,-5.68,0,bK16N56L
(2002 MN),2109-06-15.88,0.56,0,3.56E+05,-1.44585,6.50E-07,1.70E-03,1.47E+01,-5.69,0,bK02M00N
410777 (2009 FD),2191-03-30.30,0.47,0,3.14E+06,0.566,2.00E-07,< 1.e-04,1.45E+02,-5.69,,a0410777
(2016 WG),2101-06-24.08,0.66,0,1.61E+06,0.90263,2.50E-07,4.28E-03,4.51E+01,-5.69,0,bK16W00G
(2016 WG),2088-06-23.29,0.42,0,4.69E+05,1.99727,2.10E-07,4.50E-03,4.48E+01,-5.69,0,bK16W00G
(2007 FT3),2099-10-03.74,52.67,1.195,4.13E+05,-0.90621,8.90E-09,4.32E+01,2.74E+03,-5.7,0,bK07F03T
(2008 UB7),2056-10-31.69,0.81,0,1.61E+06,-0.22382,2.80E-07,< 1.e-04,1.45E+01,-5.7,0,bK08U07B
(2008 UV99),2082-03-29.33,46.87,1.57,7.71E+05,0.49492,5.50E-09,2.92E+01,3.69E+03,-5.7,0,bK08U99V
(2007 FT3),2105-10-04.29,39.47,0.808,5.29E+05,-0.88895,9.50E-09,4.76E+01,2.74E+03,-5.7,0,bK07F03T
(2017 FB1),2111-03-04.13,0.69,0,1.01E+06,0.99326,3.20E-07,2.08E-01,3.65E+01,-5.7,0,bK17F01B
(2015 ME131),2034-08-18.47,28.89,0.043,9.33E+05,0.73029,6.40E-10,6.48E+02,1.03E+04,-5.7,0,bK15MD1E
(2015 RN35),2079-12-16.04,0.42,0,1.30E+06,-0.78783,4.10E-07,7.86E-03,1.58E+01,-5.7,0,bK15R35N
(2007 FT3),2084-10-03.09,7.71,0.136,1.05E+06,-0.77699,7.10E-09,4.92E+01,2.72E+03,-5.71,0,bK07F03T
(2007 WP3),2098-11-11.51,0.5,0,1.04E+06,-0.56571,5.70E-07,3.93E-03,1.42E+01,-5.71,0,bK07W03P
(2008 EX5),2068-10-08.98,0.49,0,9.08E+05,-0.64028,6.20E-07,1.52E-02,7.27E+00,-5.71,0,bK08E05X
(2015 ME131),2031-08-18.74,23.46,0.035,1.17E+06,0.73154,5.10E-10,6.43E+02,1.03E+04,-5.71,0,bK15MD1E
410777 (2009 FD),2198-03-29.99,0.43,0,3.19E+06,0.564,2.00E-07,< 1.e-04,1.45E+02,-5.71,,a0410777
(2017 FO128),2109-03-16.01,0.64,0,1.88E+06,-1.18204,1.60E-07,1.57E-02,7.56E+01,-5.72,0,bK17FC8O
(2008 UV99),2024-03-30.10,85.5,2.634,7.67E+05,0.53485,5.10E-10,3.21E+01,4.17E+03,-5.72,0,bK08U99V
(2016 WN55),2063-09-13.28,23.72,0.156,1.07E+06,-0.52741,2.70E-09,1.46E+02,5.40E+03,-5.72,0,bK16W55N
(2017 GM7),2103-06-21.17,5.7,1.087,6.67E+05,-2.77842,1.50E-09,4.32E+00,2.40E+04,-5.72,0,bK17G07M
(2016 NL56),2077-08-15.80,1.65,0.035,1.28E+05,-1.0482,1.20E-07,1.89E+01,6.68E+01,-5.73,0,bK16N56L
(2007 FT3),2084-10-03.03,27.18,0.553,9.67E+05,-0.81548,6.60E-09,4.74E+01,2.72E+03,-5.74,0,bK07F03T
(2000 WJ107),2114-11-19.98,0.37,0,1.00E+06,-1.08428,4.10E-07,1.11E-02,2.43E+01,-5.74,0,bK00WA7J
(2017 FO128),2109-03-15.99,0.7,0,3.35E+06,0.38568,1.60E-07,< 1.e-04,7.62E+01,-5.74,0,bK17FC8O
(2015 ME131),2035-08-18.72,29.19,0.043,9.55E+05,0.73013,6.20E-10,6.51E+02,1.03E+04,-5.74,0,bK15MD1E
(2015 ME131),2033-08-18.23,26.35,0.039,1.08E+06,0.73065,5.50E-10,6.46E+02,1.03E+04,-5.74,0,bK15MD1E
(2015 ME131),2032-08-17.99,24.12,0.036,1.15E+06,0.73107,5.20E-10,6.45E+02,1.03E+04,-5.74,0,bK15MD1E
(2016 NL56),2021-02-13.16,182.86,0.611,3.53E+04,-1.49928,1.20E-08,2.98E+02,3.39E+01,-5.74,0,bK16N56L
(2016 WN55),2069-09-12.83,31.45,0.209,1.01E+06,-0.52669,2.90E-09,1.46E+02,5.39E+03,-5.75,0,bK16W55N
(2017 FO128),2104-03-15.82,0.72,0,9.60E+04,-2.7125,1.50E-07,1.22E-02,7.52E+01,-5.75,0,bK17FC8O
(2007 FT3),2084-10-03.03,27.57,0.573,1.03E+06,-0.81981,6.20E-09,4.64E+01,2.73E+03,-5.76,0,bK07F03T
(2012 ES10),2059-03-05.44,0.07,0,2.67E+06,1.13761,1.60E-07,1.57E-02,2.70E+01,-5.76,0,bK12E10S
(2014 MV67),2025-03-26.22,97.02,1.05,9.68E+06,0.22462,3.10E-10,9.15E+01,7.93E+03,-5.76,0,bK14M67V
(2015 BS516),2032-09-16.76,75.03,0.352,8.18E+05,-0.93168,1.80E-09,2.10E+02,2.12E+03,-5.76,0,bK15Bp6S
(2016 WN55),2057-09-12.76,20.32,0.133,1.36E+06,-0.5281,2.20E-09,1.45E+02,5.41E+03,-5.76,0,bK16W55N
(2016 NL56),2033-08-14.55,17.8,1.893,1.28E+05,-1.10115,3.20E-08,8.87E+00,6.09E+01,-5.76,0,bK16N56L
(2016 WN55),2051-09-13.24,18.27,0.119,1.64E+06,-0.5288,1.80E-09,1.45E+02,5.42E+03,-5.77,0,bK16W55N
(2016 NL56),2063-09-01.63,23.4,0.835,4.35E+05,-0.46611,2.60E-08,2.68E+01,2.78E+02,-5.77,0,bK16N56L
(2015 HV182),2019-10-09.96,93.49,0.328,5.83E+05,-0.03398,2.90E-09,2.82E+02,1.13E+02,-5.78,0,bK15HI2V
(2007 FT3),2062-10-03.51,15.88,0.318,1.83E+06,-0.79366,4.00E-09,4.67E+01,2.72E+03,-5.78,0,bK07F03T
(2016 WN55),2075-09-12.63,130.79,0.838,6.80E+05,-0.5575,2.80E-09,1.55E+02,5.79E+03,-5.78,0,bK16W55N
(2016 WN55),2045-09-12.71,13.63,0.086,2.03E+06,-0.52963,1.50E-09,1.46E+02,5.43E+03,-5.78,0,bK16W55N
(2016 NL56),2027-02-15.25,149.94,0.399,1.15E+05,-0.6537,8.60E-09,3.74E+02,1.56E+02,-5.78,0,bK16N56L
(2015 HV182),2017-09-18.14,7.51,0.006,3.72E+06,0.08979,1.30E-10,1.05E+03,6.46E+02,-5.78,0,bK15HI2V
(2008 UV99),2090-03-30.13,24.45,0.702,2.18E+06,0.51693,4.60E-09,3.34E+01,3.94E+03,-5.8,0,bK08U99V
(2010 JA43),2023-01-07.55,15.31,0.108,2.36E+05,-1.74274,3.50E-09,1.33E+02,2.37E+02,-5.8,0,bK10J43A
(2011 BT59),2091-04-12.10,4.67,2.099,6.90E+05,-1.39791,5.50E-09,1.75E+00,3.24E+03,-5.8,0,bK11B59T
(2016 NL56),2051-08-29.27,25.04,2.061,1.65E+05,-0.54418,2.20E-08,1.17E+01,2.14E+02,-5.8,0,bK16N56L
(2007 FT3),2050-10-03.17,125.02,2.345,1.20E+05,-1.0732,2.70E-09,5.29E+01,2.77E+03,-5.81,0,bK07F03T
(2010 MY112),2022-12-18.70,64.83,0.156,1.69E+06,-0.25759,6.90E-10,4.09E+02,1.69E+03,-5.81,0,bK10MB2Y
101955 Bennu (1999 RQ36),2197-09-24.80,0.01,0,8.62E+05,-2.883,3.10E-08,< 1.e-04,1.15E+03,-5.81,,a0101955
(2016 WG),2091-06-23.35,0.34,0,4.11E+06,-0.46307,1.60E-07,4.81E-03,4.50E+01,-5.81,0,bK16W00G
(2016 NL56),2050-08-15.01,13.75,1.024,2.06E+05,-1.08961,5.70E-08,1.25E+01,6.21E+01,-5.81,0,bK16N56L
(2015 HV182),2019-02-07.14,159.23,0.88,2.03E+06,0.03572,9.20E-10,1.80E+02,2.86E+02,-5.81,0,bK15HI2V
(2010 CR5),2062-01-01.06,3.93,2.093,4.82E+06,-0.38641,2.00E-09,1.40E+00,5.90E+03,-5.82,0,bK10C05R
(2016 NL56),2034-09-14.42,173.48,0.15,1.66E+05,-0.17002,2.60E-09,1.15E+03,1.30E+03,-5.82,0,bK16N56L
(2017 GM7),2103-06-21.16,4.47,0.783,8.55E+05,-2.88859,1.20E-09,4.44E+00,2.40E+04,-5.82,0,bK17G07M
(2017 FO63),2088-11-13.74,0.44,0,1.03E+06,-1.9599,1.30E-07,9.62E-03,5.52E+01,-5.83,0,bK17F63O
(2017 FO63),2088-11-13.74,0.28,0,1.09E+06,-1.95979,1.30E-07,4.23E-02,5.52E+01,-5.83,0,bK17F63O
(2015 ME131),2030-08-20.01,185.76,0.311,1.79E+06,0.80393,3.30E-10,5.95E+02,1.18E+04,-5.83,0,bK15MD1E
(2017 FB1),2109-03-04.16,0.12,0,8.71E+05,1.67043,2.20E-07,2.36E-01,3.76E+01,-5.84,0,bK17F01B
(2016 WN55),2048-09-11.75,145.8,0.962,1.32E+06,-0.55866,1.30E-09,1.50E+02,5.80E+03,-5.84,0,bK16W55N
(2010 CA55),2034-07-08.97,5.77,0.908,5.03E+05,-2.28896,7.90E-09,5.25E+00,2.85E+02,-5.85,0,bK10C55A
(2010 WC9),2077-05-15.52,1.5,0.802,3.73E+05,0.21803,2.90E-07,6.17E-01,1.53E+01,-5.85,0,bK10W09C
(2016 NL56),2061-08-11.07,13.58,0.193,3.36E+04,-1.32056,9.10E-08,6.52E+01,4.33E+01,-5.85,0,bK16N56L
(2016 WN55),2081-09-12.19,109.72,0.724,8.25E+05,-0.55357,2.60E-09,1.50E+02,5.73E+03,-5.86,0,bK16W55N
(2015 YV20),2023-05-08.05,71.98,0.587,2.37E+05,-0.42993,1.30E-08,1.21E+02,3.88E+01,-5.87,0,bK15Y20V
(2016 WN55),2060-09-13.08,139.89,0.946,1.01E+06,-0.50258,1.90E-09,1.47E+02,5.11E+03,-5.87,0,bK16W55N
(2015 HV182),2018-09-19.04,155.4,1.078,1.40E+06,-0.33736,1.30E-09,1.43E+02,1.17E+02,-5.87,0,bK15HI2V
(2017 DC120),2021-01-30.79,54.38,0.224,2.54E+05,-1.02419,4.80E-09,2.38E+02,7.67E+01,-5.87,0,bK17DC0C
(2016 NL56),2030-02-16.78,195.21,0.544,1.51E+05,-0.53679,6.80E-09,3.57E+02,2.20E+02,-5.88,0,bK16N56L
(2007 FT3),2030-10-03.69,65.61,1.403,3.66E+06,-0.5278,9.40E-10,4.61E+01,2.67E+03,-5.89,0,bK07F03T
(2016 WN55),2078-09-13.46,110.14,0.892,9.38E+05,-0.51023,2.50E-09,1.22E+02,5.20E+03,-5.89,0,bK16W55N
(2007 WP3),2109-11-12.30,0.57,0,2.64E+05,1.91006,4.00E-07,4.50E-03,1.43E+01,-5.91,0,bK07W03P
(2008 EX5),2074-10-09.49,0.54,0,1.30E+06,-0.57289,4.40E-07,7.86E-03,7.29E+00,-5.91,0,bK08E05X
(2007 FT3),2112-10-04.28,47.21,0.952,8.16E+05,-0.63999,6.40E-09,4.85E+01,2.69E+03,-5.91,0,bK07F03T
(2016 NL56),2105-03-30.01,72.74,0.078,1.20E+05,-0.06587,4.50E-09,9.16E+02,3.70E+03,-5.91,0,bK16N56L
(2015 HV182),2054-10-22.57,87.54,0.932,8.87E+04,-0.05637,3.90E-08,9.28E+01,8.83E+01,-5.91,0,bK15HI2V
(2015 HV182),2019-12-28.89,147.39,0.429,6.05E+05,-0.02988,2.20E-09,3.41E+02,1.18E+02,-5.91,0,bK15HI2V
(2016 WG),2110-06-24.79,0.04,0,1.60E+06,1.49191,1.60E-07,4.61E-03,4.49E+01,-5.91,0,bK16W00G
(2010 MA113),2049-07-23.63,125.01,1.298,2.03E+03,2.33417,1.10E-07,9.56E+01,1.82E+01,-5.93,0,bK10MB3A
(2010 DG77),2018-01-11.27,129.32,1.954,2.59E+06,0.03029,4.20E-10,6.57E+01,1.79E+02,-5.93,0,bK10D77G
(2000 WJ107),2114-11-19.98,0.24,0,1.29E+06,-1.29254,2.60E-07,1.04E-02,2.43E+01,-5.94,0,bK00WA7J
(2010 MA113),2077-01-24.58,4.38,1.422,1.32E+05,1.82604,6.70E-08,2.38E+00,7.36E+01,-5.94,0,bK10MB3A
(2000 WJ107),2114-11-19.98,0.35,0,2.80E+06,0.29562,2.60E-07,7.86E-03,2.45E+01,-5.95,0,bK00WA7J
(2008 UV99),2058-03-29.98,14.97,0.43,6.65E+06,0.51508,1.80E-09,3.25E+01,3.92E+03,-5.95,0,bK08U99V
(2012 ES10),2059-03-05.46,0.38,0,3.81E+06,1.14252,1.00E-07,1.57E-02,2.70E+01,-5.95,0,bK12E10S
(2015 ME131),2034-08-17.21,175.06,0.278,1.58E+06,0.66492,3.90E-10,6.26E+02,9.16E+03,-5.95,0,bK15MD1E
(2016 WG),2101-06-24.09,0.33,0,3.59E+06,0.94407,1.30E-07,3.93E-03,4.51E+01,-5.95,0,bK16W00G
(2016 NL56),2043-08-16.68,13.27,1.779,2.29E+05,-1.01638,2.90E-08,6.90E+00,7.06E+01,-5.95,0,bK16N56L
(2000 WJ107),2114-11-19.98,0.65,0,1.56E+06,-0.92709,2.50E-07,8.78E-03,2.43E+01,-5.96,0,bK00WA7J
(2007 WP3),2113-11-12.29,0.43,0,1.54E+06,-0.63176,3.80E-07,< 1.e-04,1.42E+01,-5.96,0,bK07W03P
(2016 WN55),2083-09-13.15,4.03,0.02,1.29E+06,-0.5319,2.20E-09,1.51E+02,5.46E+03,-5.96,0,bK16W55N
(2010 XB73),2044-06-01.39,17.48,0.406,8.89E+04,-1.27334,5.60E-08,4.06E+01,3.17E+01,-5.96,0,bK10X73B
101955 Bennu (1999 RQ36),2193-09-25.67,0.12,0,2.72E+06,2.585,2.10E-08,< 1.e-04,1.15E+03,-5.96,,a0101955
(2010 MA113),2049-07-23.63,125.03,1.335,2.19E+03,2.33236,1.00E-07,9.29E+01,1.83E+01,-5.97,0,bK10MB3A
(2016 NL56),2053-08-16.94,7.63,0.808,6.42E+05,-0.98476,3.70E-08,8.20E+00,7.49E+01,-5.97,0,bK16N56L
(2007 FT3),2047-10-03.93,46.08,0.974,3.15E+06,-0.60635,1.70E-09,4.63E+01,2.68E+03,-5.98,0,bK07F03T
(2015 BS516),2035-09-16.40,91.2,0.33,8.67E+05,-0.96485,1.30E-09,2.73E+02,2.12E+03,-5.98,0,bK15Bp6S
(2005 TM173),2017-12-13.78,113.95,2.021,2.08E+05,-0.65034,4.30E-09,5.59E+01,7.37E+00,-5.98,0,bK05TH3M
(2007 FT3),2090-10-03.71,37.93,0.767,1.52E+06,-0.64999,4.10E-09,4.81E+01,2.69E+03,-5.99,0,bK07F03T
(2008 UV99),2098-03-29.69,15.81,0.591,4.27E+06,0.50371,3.40E-09,2.51E+01,3.79E+03,-5.99,0,bK08U99V
(2010 KJ37),2024-11-18.90,26.71,0.687,4.70E+04,1.52207,6.90E-08,3.74E+01,4.60E+00,-5.99,0,bK10K37J
(2015 BS516),2037-09-17.25,109.31,0.521,9.97E+05,-0.92433,1.40E-09,2.08E+02,2.11E+03,-5.99,0,bK15Bp6S
(2015 ME131),2035-08-17.53,167.43,0.281,1.73E+06,0.66785,3.80E-10,5.92E+02,9.20E+03,-5.99,0,bK15MD1E
(2016 NL56),2080-09-09.86,74.39,0.29,1.73E+05,-0.26563,1.10E-08,2.53E+02,6.86E+02,-5.99,0,bK16N56L
(2016 WG),2101-06-24.16,0.61,0,3.41E+06,0.9056,1.20E-07,3.93E-03,4.51E+01,-5.99,0,bK16W00G
(2000 WJ107),2114-11-19.99,0.83,0,1.56E+06,0.68144,2.30E-07,1.04E-02,2.45E+01,-6,0,bK00WA7J
(2008 UV99),2035-03-30.66,63.04,2.432,1.17E+06,0.52853,6.90E-10,2.55E+01,4.09E+03,-6,0,bK08U99V
(2010 XB73),2023-06-04.21,46.16,1.045,2.52E+05,-1.25853,1.20E-08,4.32E+01,3.17E+01,-6,0,bK10X73B
(2017 FB1),2108-03-03.51,1.36,1.751,3.84E+04,1.14423,1.50E-07,2.06E-01,3.68E+01,-6,0,bK17F01B
(2015 RN35),2083-12-12.37,0.56,0,2.57E+06,0.58174,2.20E-07,< 1.e-04,1.58E+01,-6,0,bK15R35N
